organism,seedid,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,ncbiid,platform,kingdom,phylum,class,order,family,genus,species,file,strain,kbaseid,id,summary_rank
Lachnospiraceae bacterium sp. 8_1_57FAA,Lachnospiraceae bacterium 8_1_57FAA (665951.3),Obligate anaerobe,Uncharacterized,Uncharacterized,Uncharacterized,603.0,2252.0,1201.0,Ines Thiele,06/29/12,665951.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified Lachnospiraceae genus,Lachnospiraceae bacterium 8_1_57FAA,Lachnospiraceae_bacterium_8_1_57FAA.json,Lachnospiraceae bacterium sp. 8_1_57FAA,,Lachnospiraceae_bacterium_8_1_57FAA,species
Clostridium indolis DSM 755,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,1476.0,1430.0,1090.0,Laura Kutt,04/18/16,1304881.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,Lacrimispora_indolis.json,Clostridium indolis DSM 755,kb|g.209340,Lacrimispora_indolis,species
,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,,,,Ines Thiele,,,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus paracasei,Lacticaseibacillus_paracasei.json,,,Lacticaseibacillus_paracasei,species
,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,,,,,,,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus rhamnosus,Lacticaseibacillus_rhamnosus.json,,,Lacticaseibacillus_rhamnosus,species
Lactobacillus pentosus KCA1,Lactobacillus pentosus KCA1 (1136177.4),Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,,858.0,1307.0,995.0,Laura Kutt,04/18/16,1136177.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus pentosus,Lactiplantibacillus_pentosus.json,Lactobacillus pentosus KCA1,kb|g.24585,Lactiplantibacillus_pentosus,species
,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,,,,,,,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plantarum,Lactiplantibacillus_plantarum.json,,,Lactiplantibacillus_plantarum,species
,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,,,,,,,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,Lactobacillus_acidophilus.json,,,Lactobacillus_acidophilus,species
Lactobacillus amylolyticus DSM 11664,Lactobacillus amylolyticus DSM 11664 (585524.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,423.0,1049.0,827.0,Ines Thiele,06/29/12,585524.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylolyticus,Lactobacillus_amylolyticus.json,Lactobacillus amylolyticus DSM 11664,,Lactobacillus_amylolyticus,species
Lactobacillus amylovorus GRL 1112,Lactobacillus amylovorus GRL 1112 (695560.3),Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,,556.0,1048.0,817.0,Laura Kutt,04/18/16,695560.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus,Lactobacillus_amylovorus.json,Lactobacillus amylovorus GRL 1112,kb|g.3001,Lactobacillus_amylovorus,species
Lactobacillus animalis KCTC 3501,Lactobacillus animalis KCTC 3501 (930942.3),Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,,581.0,1149.0,887.0,Laura Kutt,05/30/16,930942.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Lactobacillus animalis,Lactobacillus_animalis.json,Lactobacillus animalis KCTC 3501,kb|g.3735,Lactobacillus_animalis,species
Lactobacillus antri DSM 16041,Lactobacillus antri DSM 16041 (525309.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,606.0,1548.0,1118.0,Ines Thiele,09/06/12,525309.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Lactobacillus antri,Lactobacillus_antri.json,Lactobacillus antri DSM 16041,,Lactobacillus_antri,species
Lactobacillus buchneri ATCC 11577,Lactobacillus buchneri ATCC 11577 (525318.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,757.0,1114.0,884.0,Ines Thiele,09/06/12,525318.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lactobacillus buchneri,Lactobacillus_buchneri.json,Lactobacillus buchneri ATCC 11577,,Lactobacillus_buchneri,species
Lactobacillus casei casei BL23,Lactobacillus casei BL23 (543734.4),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,740.0,1050.0,829.0,Ines Thiele,06/25/12,543734.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lactobacillus casei,Lactobacillus_casei.json,Lactobacillus casei casei BL23,,Lactobacillus_casei,species
Lactobacillus coleohominis 101-4-CHN,Lactobacillus coleohominis 101-4-CHN (575594.3),Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,,510.0,1058.0,841.0,Laura Kutt,04/18/16,575594.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Lactobacillus coleohominis,Lactobacillus_coleohominis.json,Lactobacillus coleohominis 101-4-CHN,kb|g.2455,Lactobacillus_coleohominis,species
Lactobacillus coryniformis subsp. coryniformis CECT 5711,,Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,,788.0,1255.0,975.0,Laura Kutt,04/18/16,1185325.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Loigolactobacillus,Lactobacillus coryniformis,Lactobacillus_coryniformis.json,Lactobacillus coryniformis subsp. coryniformis CECT 5711,kb|g.25201,Lactobacillus_coryniformis,species
Lactobacillus crispatus 125-2-CHN,Lactobacillus crispatus 125-2-CHN (575595.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,519.0,747.0,637.0,Ines Thiele,06/29/12,575595.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,Lactobacillus_crispatus.json,Lactobacillus crispatus 125-2-CHN,,Lactobacillus_crispatus,species
Lactobacillus curvatus CRL 705,,Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,,509.0,1057.0,843.0,Laura Kutt,04/18/16,1074451.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Lactobacillus curvatus,Lactobacillus_curvatus.json,Lactobacillus curvatus CRL 705,kb|g.23895,Lactobacillus_curvatus,species
,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,,,,,,,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,Lactobacillus_delbrueckii.json,,,Lactobacillus_delbrueckii,species
Lactobacillus gasseri ATCC 33323,Lactobacillus gasseri ATCC 33323 (324831.13),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,483.0,1163.0,870.0,Eugen Bauer,08/03/14,324831.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus gasseri,Lactobacillus_gasseri.json,Lactobacillus gasseri ATCC 33323,,Lactobacillus_gasseri,species
Lactobacillus gastricus PS3,Lactobacillus gastricus PS3 (1144300.3),Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,,627.0,1199.0,958.0,Laura Kutt,04/18/16,1144300.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Lactobacillus gastricus,Lactobacillus_gastricus.json,Lactobacillus gastricus PS3,kb|g.24613,Lactobacillus_gastricus,species
,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,,,,,,,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus,Lactobacillus_helveticus.json,,,Lactobacillus_helveticus,species
Lactobacillus hilgardii ATCC 8290,Lactobacillus hilgardii ATCC 8290 (525327.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,723.0,1791.0,1223.0,Ines Thiele,09/06/12,1423757.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lactobacillus hilgardii,Lactobacillus_hilgardii.json,Lactobacillus hilgardii ATCC 8290,,Lactobacillus_hilgardii,species
Lactobacillus iners DSM 13335,Lactobacillus iners DSM 13335 (525328.4),Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,,395.0,929.0,725.0,Laura Kutt,04/18/16,525328.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners,Lactobacillus_iners.json,Lactobacillus iners DSM 13335,kb|g.2008,Lactobacillus_iners,species
Lactobacillus jensenii 1153,Lactobacillus jensenii 1153 (440497.10),Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,,461.0,898.0,738.0,Laura Kutt,04/18/16,440497.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus jensenii,Lactobacillus_jensenii.json,Lactobacillus jensenii 1153,kb|g.1482,Lactobacillus_jensenii,species
,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,462.0,,,Eugen Bauer,08/03/14,,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii,Lactobacillus_johnsonii.json,,,Lactobacillus_johnsonii,species
Lactobacillus mucosae LM1,Lactobacillus mucosae LM1 (1130798.3),Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,,583.0,1091.0,853.0,Laura Kutt,04/18/16,1130798.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Lactobacillus mucosae,Lactobacillus_mucosae.json,Lactobacillus mucosae LM1,kb|g.24465,Lactobacillus_mucosae,species
Lactobacillus sakei subsp. sakei 23K,Lactobacillus sakei subsp. sakei 23K (314315.12),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,546.0,1569.0,1101.0,Eugen Bauer,08/03/14,314315.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Lactobacillus sakei,Lactobacillus_sakei.json,Lactobacillus sakei subsp. sakei 23K,,Lactobacillus_sakei,species
Lactobacillus ultunensis DSM 16047,Lactobacillus ultunensis DSM 16047 (525365.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,545.0,1434.0,1026.0,Ines Thiele,06/25/12,525365.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus ultunensis,Lactobacillus_ultunensis.json,Lactobacillus ultunensis DSM 16047,,Lactobacillus_ultunensis,species
Lactobacillus vaginalis ATCC 49540,Lactobacillus vaginalis ATCC 49540 (525366.3),Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,,543.0,1120.0,902.0,Laura Kutt,04/18/16,1423814.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Lactobacillus vaginalis,Lactobacillus_vaginalis.json,Lactobacillus vaginalis ATCC 49540,kb|g.2018,Lactobacillus_vaginalis,species
Lactococcus garvieae ATCC 49156,Lactococcus garvieae ATCC 49156 (420889.6),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Pathogen,614.0,1188.0,890.0,Laura Kutt,04/18/16,420889.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus garvieae,Lactococcus_garvieae.json,Lactococcus garvieae ATCC 49156,kb|g.26658,Lactococcus_garvieae,species
Lactococcus lactis subsp. lactis Il1403,Lactococcus lactis subsp. lactis Il1403 (272623.7),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,748.0,1295.0,994.0,,,272623.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,Lactococcus_lactis.json,Lactococcus lactis subsp. lactis Il1403,kb|g.613,Lactococcus_lactis,species
Lactococcus raffinolactis 4877,Lactococcus raffinolactis 4877 (1215915.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Pathogen,742.0,1203.0,902.0,Laura Kutt,04/18/16,1215915.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus raffinolactis,Lactococcus_raffinolactis.json,Lactococcus raffinolactis 4877,kb|g.25584,Lactococcus_raffinolactis,species
Atopobium parvulum DSM 20469,Atopobium parvulum DSM 20469 (521095.5),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Opportunistic pathogen,440.0,994.0,782.0,chenry,04/15/16,521095.0,Kbase,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Lancefieldella,Lancefieldella parvula,Lancefieldella_parvula.json,Atopobium parvulum DSM 20469,kb|g.1956,Lancefieldella_parvula,species
Atopobium rimae ATCC 49626,Atopobium rimae ATCC 49626 (553184.4),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Opportunistic pathogen,480.0,1054.0,853.0,chenry,04/15/16,553184.0,Kbase,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Lancefieldella,Lancefieldella rimae,Lancefieldella_rimae.json,Atopobium rimae ATCC 49626,kb|g.2245,Lancefieldella_rimae,species
Laribacter hongkongensis HLHK9,Laribacter hongkongensis HLHK9 (557598.3),Facultative anaerobe,"Asaccharolytic, nonfermentative",Negative,Pathogen,751.0,1266.0,987.0,Eugen Bauer,08/03/14,557598.0,Kbase,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Laribacter,Laribacter hongkongensis,Laribacter_hongkongensis.json,Laribacter hongkongensis HLHK9,,Laribacter_hongkongensis,species
Lautropia mirabilis ATCC 51599,Lautropia mirabilis ATCC 51599 (887898.3),Facultative anaerobe,"Non-fermentative, asaccharolytic",Negative,,784.0,1297.0,1025.0,Laura Kutt,04/18/16,887898.0,Kbase,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,Lautropia mirabilis,Lautropia_mirabilis.json,Lautropia mirabilis ATCC 51599,kb|g.3587,Lautropia_mirabilis,species
Leminorella grimontii ATCC 33999 = DSM 5078,,Facultative anaerobe,Fermentative,Negative,,947.0,1453.0,1092.0,Laura Kutt,04/18/16,1005999.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Budviciaceae,Leminorella,Leminorella grimontii,Leminorella_grimontii.json,Leminorella grimontii ATCC 33999 = DSM 5078,kb|g.206563,Leminorella_grimontii,species
Leptotrichia buccalis C-1013-b,Leptotrichia buccalis C-1013-b (523794.5),Facultative anaerobe,"Saccharolytic, fermentative",Negative,,655.0,1251.0,959.0,Laura Kutt,04/18/16,523794.0,Kbase,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia buccalis,Leptotrichia_buccalis.json,Leptotrichia buccalis C-1013-b,kb|g.1972,Leptotrichia_buccalis,species
Leuconostoc gelidum JB7,Leuconostoc gelidum JB7 (1229756.3),Facultative anaerobe,"Saccharolytic, fermentative, nonproteolytic",Positive,,629.0,1170.0,908.0,Laura Kutt,04/18/16,1229756.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc gelidum,Leuconostoc_gelidum.json,Leuconostoc gelidum JB7,kb|g.25724,Leuconostoc_gelidum,species
,Leuconostoc argentinum KCTC 3773 (886872.3),Facultative anaerobe,"Saccharolytic, fermentative, nonproteolytic",Positive,,,,869.0,Laura Kutt,04/18/16,,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc lactis,Leuconostoc_lactis.json,,,Leuconostoc_lactis,species
Leuconostoc mesenteroides subsp. cremoris ATCC 19254,Leuconostoc mesenteroides subsp. cremoris ATCC 19254 (586220.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,563.0,1280.0,979.0,Ines Thiele,06/25/12,586220.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc mesenteroides,Leuconostoc_mesenteroides.json,Leuconostoc mesenteroides subsp. cremoris ATCC 19254,,Leuconostoc_mesenteroides,species
,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,,,,Ines Thiele,,,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Levilactobacillus_brevis.json,,,Levilactobacillus_brevis,species
Lactobacillus ruminis ATCC 25644,Lactobacillus ruminis ATCC 25644 (525362.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,565.0,1663.0,1123.0,Ines Thiele,06/25/12,525362.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus ruminis,Ligilactobacillus_ruminis.json,Lactobacillus ruminis ATCC 25644,,Ligilactobacillus_ruminis,species
,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,,,,Ines Thiele,06/25/12,,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius,Ligilactobacillus_salivarius.json,,,Ligilactobacillus_salivarius,species
,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,,,,,,,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,Limosilactobacillus_fermentum.json,,,Limosilactobacillus_fermentum,species
Lactobacillus oris F0423,Lactobacillus oris F0423 (944562.4),Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,,628.0,1200.0,934.0,Laura Kutt,04/18/16,944562.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus oris,Limosilactobacillus_oris.json,Lactobacillus oris F0423,kb|g.28499,Limosilactobacillus_oris,species
,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,,,,Ines Thiele,,,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,Limosilactobacillus_reuteri.json,,,Limosilactobacillus_reuteri,species
Listeria grayi DSM 20601,Listeria grayi DSM 20601 (525367.9),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,766.0,1443.0,1031.0,Ines Thiele,06/25/12,525367.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria grayi,Listeria_grayi.json,Listeria grayi DSM 20601,,Listeria_grayi,species
,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Pathogen,,,,Eugen Bauer,08/03/14,,,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Listeria_monocytogenes.json,,,Listeria_monocytogenes,species
Salmonella enterica enterica sv Typhimurium LT2,Salmonella enterica subsp. enterica serovar Typhimurium str. (946034.3),Facultative anaerobe,"Fermentative or respiratory, variety of carbon sources used",Negative,Pathogen,1241.0,2361.0,1474.0,Ines Thiele,08/07/12,1457319.0,Kbase,Eukaryota,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Lopadostoma,Lopadostoma turgidum,Lopadostoma_turgidum.json,Salmonella enterica enterica sv Typhimurium LT2,,Lopadostoma_turgidum,species
Lysinibacillus fusiformis ZB2,Lysinibacillus fusiformis ZB2 (1231627.3),,,,,1071.0,1492.0,1129.0,Laura Kutt,05/30/16,1231627.0,Kbase,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus fusiformis,Lysinibacillus_fusiformis.json,Lysinibacillus fusiformis ZB2,kb|g.25748,Lysinibacillus_fusiformis,species
Lysinibacillus sphaericus C3-41,Lysinibacillus sphaericus C3-41 (444177.5),,,,,1090.0,1470.0,1118.0,Laura Kutt,04/18/16,444177.0,Kbase,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus sphaericus,Lysinibacillus_sphaericus.json,Lysinibacillus sphaericus C3-41,kb|g.1506,Lysinibacillus_sphaericus,species
"Marvinbryantia formatexigens I-52, DSM 14469",Bryantella formatexigens DSM 14469 (478749.5),Obligate anaerobe,"Saccharolytic, fermentative, hydrogen used as energy source",Positive,Commensal,798.0,1996.0,1258.0,Ines Thiele,04/20/12,168384.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,Marvinbryantia_formatexigens.json,"Marvinbryantia formatexigens I-52, DSM 14469",,Marvinbryantia_formatexigens,species
Megamonas funiformis YIT 11815,Megamonas funiformis YIT 11815 (742816.3),Obligate anaerobe,"Saccharolytic, fermentative",Negative,,811.0,1249.0,935.0,Laura Kutt,04/18/16,742816.0,Kbase,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,Megamonas_funiformis.json,Megamonas funiformis YIT 11815,kb|g.27486,Megamonas_funiformis,species
Megamonas hypermegale ART12/1,Megamonas hypermegale ART12/1 (657316.3),Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,902.0,1102.0,881.0,Ines Thiele,06/25/12,657316.0,ModelSEED,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,Megamonas_hypermegale.json,Megamonas hypermegale ART12/1,,Megamonas_hypermegale,species
Megasphaera elsdenii DSM 20460,,Obligate anaerobe,"Saccharolytic, fermentative, lactate fermented to propionate",Negative,Commensal,649.0,1206.0,947.0,chenry,09/10/14,1064535.0,ModelSEED,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,Megasphaera_elsdenii.json,Megasphaera elsdenii DSM 20460,,Megasphaera_elsdenii,species
Mesorhizobium loti MAFF303099,Mesorhizobium loti MAFF303099 (266835.9),Aerobe,Respiratory,Negative,,1440.0,1680.0,1212.0,,,266835.0,ModelSEED,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium japonicum,Mesorhizobium_japonicum.json,Mesorhizobium loti MAFF303099,kb|g.571,Mesorhizobium_japonicum,species
Methanobrevibacter ruminantium M1,,Obligate anaerobe,Methanogen,Positive,,389.0,946.0,834.0,Laura Kutt,04/19/16,634498.0,Kbase,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter ruminantium,Methanobrevibacter_ruminantium.json,Methanobrevibacter ruminantium M1,kb|g.224117,Methanobrevibacter_ruminantium,species
Methanobrevibacter smithii ATCC 35061,Methanobrevibacter smithii ATCC 35061 (420247.6),Obligate anaerobe,"Uses carbon dioxide, hydrogen and formate as energy sources and acetate as carbon source",Positive,Commensal,407.0,714.0,656.0,Ines Thiele,06/29/12,420247.0,Kbase,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter smithii,Methanobrevibacter_smithii.json,Methanobrevibacter smithii ATCC 35061,,Methanobrevibacter_smithii,species
Methanomassiliicoccus luminyensis B10,,Obligate anaerobe,Utilizes methanol,Positive,,493.0,1001.0,831.0,Laura Kutt,04/19/16,1175296.0,Kbase,Archaea,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,Methanomassiliicoccus luminyensis,Methanomassiliicoccus_luminyensis.json,Methanomassiliicoccus luminyensis B10,kb|g.223963,Methanomassiliicoccus_luminyensis,species
Methanosphaera stadtmanae DSM 3091,Methanosphaera stadtmanae DSM 3091 (339860.6),Obligate anaerobe,Uses methanol and hydrogen as energy sources and carbon dioxide and acetate as carbon sources,Positive,Commensal,329.0,823.0,716.0,chenry,09/10/14,339860.0,Kbase,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae,Methanosphaera_stadtmanae.json,Methanosphaera stadtmanae DSM 3091,,Methanosphaera_stadtmanae,species
Methylobacterium mesophilicum SR1.6/6,Methylobacterium mesophilicum SR1.6/6 (908290.3),Aerobe,Respiratory,Negative,,1329.0,1619.0,1191.0,Laura Kutt,04/18/16,908290.0,ModelSEED,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium mesophilicum,Methylobacterium_mesophilicum.json,Methylobacterium mesophilicum SR1.6/6,kb|g.32388,Methylobacterium_mesophilicum,species
Methylobacterium radiotolerans JCM 2831,Methylobacterium radiotolerans JCM 2831 (426355.14),Aerobe,Respiratory,Negative,,1282.0,1539.0,1161.0,Laura Kutt,04/18/16,426355.0,Kbase,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium radiotolerans,Methylobacterium_radiotolerans.json,Methylobacterium radiotolerans JCM 2831,kb|g.1428,Methylobacterium_radiotolerans,species
Methylobacterium populi BJ001,Methylobacterium populi BJ001 (441620.7),Aerobe,Respiratory,Negative,,1102.0,1601.0,1181.0,Laura Kutt,04/18/16,441620.0,ModelSEED,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylorubrum,Methylorubrum populi,Methylorubrum_populi.json,Methylobacterium populi BJ001,kb|g.1485,Methylorubrum_populi,species
,Methyloversatilis universalis FAM5 (1000565.3),Anaerobe,Fermentative,Negative,Pathogen,,,,Laura Kutt,,,,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Methyloversatilis,Methyloversatilis universalis,Methyloversatilis_universalis.json,,,Methyloversatilis_universalis,species
Microbacterium gubbeenense  DSM 15944,,Facultative anaerobe,Saccharolytic,Positive,,707.0,1282.0,1017.0,chenry,04/15/16,1122237.0,ModelSEED,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium gubbeenense,Microbacterium_gubbeenense.json,Microbacterium gubbeenense  DSM 15944,kb|g.207197,Microbacterium_gubbeenense,species
